,Disease,Epidemiology,Clinical findings,Transmission,Agent,Incubation period,Diagnostic tests,tokenized,pos_tagged,synsets
25,rickettsioses tickborne new world,rmsf cases usually found rural areas less commonly urban areas residing wooded regions areas high grass exposure dogs increases risk rmsf,rmsf r parkeri rickettsiosis characterized fever myalgia malaise headache maculopapular eruption,tick bite crushing infected tick feces break skin mucous membrane also blood transfusion laboratory aerosol,rickettsia rickettsii r parkeri r africae,2–14 days usually 5–7,pcr blood skin biopsy ifa latter,"['rmsf', 'cases', 'usually', 'found', 'rural', 'areas', 'less', 'commonly', 'urban', 'areas', 'residing', 'wooded', 'regions', 'areas', 'high', 'grass', 'exposure', 'dogs', 'increases', 'risk', 'rmsf']","[('rmsf', 'NN'), ('cases', 'NNS'), ('usually', 'RB'), ('found', 'VBD'), ('rural', 'JJ'), ('areas', 'NNS'), ('less', 'RBR'), ('commonly', 'RB'), ('urban', 'JJ'), ('areas', 'NNS'), ('residing', 'VBG'), ('wooded', 'VBD'), ('regions', 'NNS'), ('areas', 'NNS'), ('high', 'JJ'), ('grass', 'NN'), ('exposure', 'NN'), ('dogs', 'NNS'), ('increases', 'VBZ'), ('risk', 'NN'), ('rmsf', 'NN')]","[None, Synset('case.n.01'), Synset('normally.r.01'), Synset('establish.v.01'), Synset('rural.a.01'), Synset('area.n.01'), Synset('less.r.01'), Synset('normally.r.01'), Synset('urban.a.01'), Synset('area.n.01'), Synset('reside.v.01'), None, Synset('region.n.01'), Synset('area.n.01'), Synset('high.a.01'), Synset('grass.n.01'), Synset('exposure.n.01'), Synset('dog.n.01'), Synset('increase.v.01'), Synset('hazard.n.01'), None]"
26,rickettsioses tickborne old world,name agent informs us agent initially found agents widespread distribution,mild febrile illness may last 2 weeks eschar bite site regional lymphadenopathy isf eschars rare generalized maculopapular erythematous rash palms soles 4–5 days,tick bite crushing infected tick feces break skin mucous membrane also blood transfusion laboratory aerosol,rickettsia aeschlimannii r africae atbf r australis qtt r,varies agent generally 7 days range 1 15 days,pcr blood skin biopsy ifa latter,"['name', 'agent', 'informs', 'us', 'agent', 'initially', 'found', 'agents', 'widespread', 'distribution']","[('name', 'NN'), ('agent', 'NN'), ('informs', 'NNS'), ('us', 'PRP'), ('agent', 'VBP'), ('initially', 'RB'), ('found', 'VBN'), ('agents', 'NNS'), ('widespread', 'JJ'), ('distribution', 'NN')]","[Synset('name.n.01'), Synset('agent.n.01'), None, None, None, Synset('initially.r.01'), Synset('establish.v.01'), Synset('agent.n.01'), Synset('widespread.s.01'), Synset('distribution.n.01')]"
27,scrub typhus,infections often occur rural areas diagnostic facilities limited scrub typhus thought occur within socalled ‘scrub typhus triangle’ bounded siberia north kamchatka peninsula east pakistan west australia south tsutsugamushi infection primarily occurs tropical climate asia also found temperate zones semiarid climates,typical skin ulcer eschar may develop site mite’s bite several days later fever headache myalgia lymphadenopathy may develop dry cough signs pneumonitis jaundice meningoencepahlitis,bite infected larval mites chiggers,orientia tsutsugamushi,10–12 days range 6–21 days,serology eia pcr culture mice cell lines,"['infections', 'often', 'occur', 'rural', 'areas', 'diagnostic', 'facilities', 'limited', 'scrub', 'typhus', 'thought', 'occur', 'within', 'socalled', '‘', 'scrub', 'typhus', 'triangle', '’', 'bounded', 'siberia', 'north', 'kamchatka', 'peninsula', 'east', 'pakistan', 'west', 'australia', 'south', 'tsutsugamushi', 'infection', 'primarily', 'occurs', 'tropical', 'climate', 'asia', 'also', 'found', 'temperate', 'zones', 'semiarid', 'climates']","[('infections', 'NNS'), ('often', 'RB'), ('occur', 'VBP'), ('rural', 'JJ'), ('areas', 'NNS'), ('diagnostic', 'JJ'), ('facilities', 'NNS'), ('limited', 'VBD'), ('scrub', 'JJ'), ('typhus', 'RB'), ('thought', 'VBN'), ('occur', 'RB'), ('within', 'IN'), ('socalled', 'VBN'), ('‘', 'NN'), ('scrub', 'NN'), ('typhus', 'RB'), ('triangle', 'JJ'), ('’', 'NNP'), ('bounded', 'VBD'), ('siberia', 'JJ'), ('north', 'JJ'), ('kamchatka', 'NN'), ('peninsula', 'NN'), ('east', 'JJ'), ('pakistan', 'JJ'), ('west', 'NN'), ('australia', 'IN'), ('south', 'JJ'), ('tsutsugamushi', 'JJ'), ('infection', 'NN'), ('primarily', 'RB'), ('occurs', 'VBZ'), ('tropical', 'JJ'), ('climate', 'NN'), ('asia', 'NN'), ('also', 'RB'), ('found', 'VBD'), ('temperate', 'JJ'), ('zones', 'NNS'), ('semiarid', 'JJ'), ('climates', 'NNS')]","[Synset('infection.n.01'), Synset('frequently.r.01'), Synset('happen.v.01'), Synset('rural.a.01'), Synset('area.n.01'), Synset('diagnostic.a.01'), Synset('facility.n.01'), Synset('restrict.v.03'), Synset('scrub.s.01'), None, Synset('think.v.01'), None, None, None, None, Synset('scrub.n.01'), None, None, None, Synset('jump.v.01'), None, Synset('north.a.01'), None, Synset('peninsula.n.01'), Synset('east.a.01'), None, Synset('west.n.01'), None, Synset('south.a.01'), None, Synset('infection.n.01'), Synset('chiefly.r.01'), Synset('happen.v.01'), Synset('tropical.s.01'), Synset('climate.n.01'), Synset('asia.n.01'), Synset('besides.r.02'), Synset('establish.v.01'), Synset('temperate.a.01'), Synset('zone.n.01'), Synset('semiarid.s.01'), Synset('climate.n.01')]"
28,streptococcus suis,rarely reported americas europe sporadic parts southeast asia especially thailand china vietnam important risk factor contact pigs uncooked pig products typically farmers veterinary personnel abattoir workers butchers,fever signs meningitis headache vomiting neck stiffness intolerance light decreased level consciousness,wounds skin including minor abrasions infection via ingestion contaminated improperly cooked pork products,streptococcus suis,hours 3 days,culture pcr streptococcus suis,"['rarely', 'reported', 'americas', 'europe', 'sporadic', 'parts', 'southeast', 'asia', 'especially', 'thailand', 'china', 'vietnam', 'important', 'risk', 'factor', 'contact', 'pigs', 'uncooked', 'pig', 'products', 'typically', 'farmers', 'veterinary', 'personnel', 'abattoir', 'workers', 'butchers']","[('rarely', 'RB'), ('reported', 'VBN'), ('americas', 'IN'), ('europe', 'NN'), ('sporadic', 'NN'), ('parts', 'NNS'), ('southeast', 'VBD'), ('asia', 'NN'), ('especially', 'RB'), ('thailand', 'JJ'), ('china', 'NNS'), ('vietnam', 'VBP'), ('important', 'JJ'), ('risk', 'NN'), ('factor', 'NN'), ('contact', 'NN'), ('pigs', 'NNS'), ('uncooked', 'VBD'), ('pig', 'NN'), ('products', 'NNS'), ('typically', 'RB'), ('farmers', 'NNS'), ('veterinary', 'JJ'), ('personnel', 'NNS'), ('abattoir', 'IN'), ('workers', 'NNS'), ('butchers', 'NNS')]","[Synset('rarely.r.01'), Synset('report.v.01'), None, Synset('europe.n.01'), None, Synset('parts.n.01'), None, Synset('asia.n.01'), Synset('particularly.r.01'), None, Synset('china.n.01'), None, Synset('important.a.01'), Synset('hazard.n.01'), Synset('factor.n.01'), Synset('contact.n.01'), Synset('hog.n.03'), None, Synset('hog.n.03'), Synset('merchandise.n.01'), Synset('typically.r.01'), Synset('farmer.n.01'), Synset('veterinary.a.01'), Synset('force.n.04'), None, Synset('worker.n.01'), Synset('butcher.n.01')]"
29,tetanus,tetanus globally distributed common highly populated agricultural areas warm wet regions late 1980s tetanus estimated cause around 1 million deaths per year mostly newborn infants,principal clinical feature tetanus painful skeletal muscle spasms rigidity symptoms include elevated temperature blood pressure sweating,contamination wounds soil dust animal feces contain c tetani spores injection contaminated street drugs,clostridium tetani,cases occur within 14 days range 1 day months,bacterium usually cultured wounds positive culture confirm diagnosis,"['tetanus', 'globally', 'distributed', 'common', 'highly', 'populated', 'agricultural', 'areas', 'warm', 'wet', 'regions', 'late', '1980s', 'tetanus', 'estimated', 'cause', 'around', '1', 'million', 'deaths', 'per', 'year', 'mostly', 'newborn', 'infants']","[('tetanus', 'NN'), ('globally', 'RB'), ('distributed', 'VBD'), ('common', 'JJ'), ('highly', 'RB'), ('populated', 'JJ'), ('agricultural', 'JJ'), ('areas', 'NNS'), ('warm', 'VBP'), ('wet', 'JJ'), ('regions', 'NNS'), ('late', 'RB'), ('1980s', 'CD'), ('tetanus', 'NNS'), ('estimated', 'VBN'), ('cause', 'VBP'), ('around', 'IN'), ('1', 'CD'), ('million', 'CD'), ('deaths', 'NNS'), ('per', 'IN'), ('year', 'NN'), ('mostly', 'RB'), ('newborn', 'JJ'), ('infants', 'NNS')]","[Synset('tetanus.n.01'), Synset('globally.r.01'), Synset('distribute.v.01'), Synset('common.a.01'), Synset('highly.r.01'), Synset('populated.s.01'), Synset('agricultural.a.01'), Synset('area.n.01'), Synset('warm.v.01'), Synset('wet.a.01'), Synset('region.n.01'), Synset('late.r.01'), None, Synset('tetanus.n.01'), Synset('estimate.v.01'), Synset('cause.v.01'), None, None, None, Synset('death.n.01'), None, Synset('year.n.01'), Synset('largely.r.01'), Synset('newborn.s.01'), Synset('baby.n.01')]"
30,trachoma,trachoma leading infectious cause blindness world wide generally disease poor rural communities highest prevalences found subsaharan africa asia central south america distribution ismore focal,selflimiting conjunctivitis including watery mucopurulent discharge typical findings lymphoid follicles papillary hypertrophy,repeated direct contact infected secretions infected individual mainly eye nose also hands fomites shared clothes towels bedlinen flies also play role transmission,chlamydia trachomatis serovars b ba c obligate intracellular bacterium,5 12 days conjunctivitis years decades trichiasis eventually corneal damage blindness,clinical diagnosis active disease presence follicles papillae conjunctival epithelium upper eyelid,"['trachoma', 'leading', 'infectious', 'cause', 'blindness', 'world', 'wide', 'generally', 'disease', 'poor', 'rural', 'communities', 'highest', 'prevalences', 'found', 'subsaharan', 'africa', 'asia', 'central', 'south', 'america', 'distribution', 'ismore', 'focal']","[('trachoma', 'NN'), ('leading', 'VBG'), ('infectious', 'JJ'), ('cause', 'NN'), ('blindness', 'NN'), ('world', 'NN'), ('wide', 'JJ'), ('generally', 'RB'), ('disease', 'JJ'), ('poor', 'JJ'), ('rural', 'JJ'), ('communities', 'NNS'), ('highest', 'JJS'), ('prevalences', 'NNS'), ('found', 'VBD'), ('subsaharan', 'NN'), ('africa', 'NN'), ('asia', 'JJ'), ('central', 'JJ'), ('south', 'NN'), ('america', 'JJ'), ('distribution', 'NN'), ('ismore', 'RB'), ('focal', 'JJ')]","[Synset('trachoma.n.01'), Synset('lead.v.01'), Synset('infectious.s.01'), Synset('cause.n.01'), Synset('blindness.n.01'), Synset('universe.n.01'), Synset('wide.a.01'), Synset('by_and_large.r.01'), None, Synset('hapless.s.01'), Synset('rural.a.01'), Synset('community.n.01'), Synset('high.a.01'), Synset('prevalence.n.01'), Synset('establish.v.01'), None, Synset('africa.n.01'), None, Synset('cardinal.s.01'), Synset('south.n.01'), None, Synset('distribution.n.01'), None, Synset('focal.s.01')]"
31,tuberculosis,estimated 927 million incident cases tb world 2007 14 hiv positive almost 50 increase 1990 estimated onethird world’s population either latently actively infected tb 2008 55 countries reported least one xdrtb case,pulmonary lesions occur 70 cases extrapulmonary meningitis skeletal organ disseminated 30 early symptoms pulmonary tb weight loss fever night sweats progressing cough chest pain hemoptysis,persontoperson via inhalation infectious aerosols cases pulmonary tb particularly prolonged exposure time,mycobacterium tuberculosis complex including tuberculosis africanum canetti bovis,2–10 weeks primary lesion tuberculinpositive skin test,direct acid fast smearculture pcr sputum body fluids depending clinical presentation serological tuberculin skin test mantoux interferon gamma release assays igras culture liquid media,"['estimated', '927', 'million', 'incident', 'cases', 'tb', 'world', '2007', '14', 'hiv', 'positive', 'almost', '50', 'increase', '1990', 'estimated', 'onethird', 'world', '’', 's', 'population', 'either', 'latently', 'actively', 'infected', 'tb', '2008', '55', 'countries', 'reported', 'least', 'one', 'xdrtb', 'case']","[('estimated', 'VBN'), ('927', 'CD'), ('million', 'CD'), ('incident', 'NN'), ('cases', 'NNS'), ('tb', 'VBP'), ('world', 'NN'), ('2007', 'CD'), ('14', 'CD'), ('hiv', 'NN'), ('positive', 'JJ'), ('almost', 'RB'), ('50', 'CD'), ('increase', 'NN'), ('1990', 'CD'), ('estimated', 'VBN'), ('onethird', 'JJ'), ('world', 'NN'), ('’', 'NN'), ('s', 'JJ'), ('population', 'NN'), ('either', 'DT'), ('latently', 'RB'), ('actively', 'RB'), ('infected', 'VBN'), ('tb', 'NN'), ('2008', 'CD'), ('55', 'CD'), ('countries', 'NNS'), ('reported', 'VBD'), ('least', 'JJS'), ('one', 'CD'), ('xdrtb', 'NN'), ('case', 'NN')]","[Synset('estimate.v.01'), None, None, Synset('incident.n.01'), Synset('case.n.01'), None, Synset('universe.n.01'), None, None, Synset('hiv.n.01'), Synset('positive.a.01'), Synset('about.r.07'), None, Synset('addition.n.03'), None, Synset('estimate.v.01'), None, Synset('universe.n.01'), None, None, Synset('population.n.01'), None, None, Synset('actively.r.01'), Synset('infect.v.01'), Synset('terbium.n.01'), None, None, Synset('state.n.04'), Synset('report.v.01'), Synset('least.a.01'), None, None, Synset('case.n.01')]"
32,tularemia,tularensis tularensis type found north america distribution associatedwith wild rabbits ticks tabanid flies type b found throughout northern hemisphere mainly eurasia associated multiple rodent species hares ticks bloodfeeding mosquitoes,clinical signs include sudden onset high fever chills generalized aches chronic ulcer bite site ulceroglandular primary site lymphatic spread regional lymphnodes hematogeneous dissemination organs,arthropod bite handling processing infected animal carcasses tissues ingestion contaminated water soil food inhalation contaminated dust aerosols,f tularensis mediasiatica gramnegative nonmotile intracellular coccobacilli,1–14 days commonly 3–5 days,culture cysteineenriched media pcr specimens affected tissues serology acute convalescent sera,"['tularensis', 'tularensis', 'type', 'found', 'north', 'america', 'distribution', 'associatedwith', 'wild', 'rabbits', 'ticks', 'tabanid', 'flies', 'type', 'b', 'found', 'throughout', 'northern', 'hemisphere', 'mainly', 'eurasia', 'associated', 'multiple', 'rodent', 'species', 'hares', 'ticks', 'bloodfeeding', 'mosquitoes']","[('tularensis', 'NN'), ('tularensis', 'NN'), ('type', 'NN'), ('found', 'VBD'), ('north', 'RB'), ('america', 'JJ'), ('distribution', 'NN'), ('associatedwith', 'NN'), ('wild', 'JJ'), ('rabbits', 'NNS'), ('ticks', 'NNS'), ('tabanid', 'JJ'), ('flies', 'NNS'), ('type', 'VBP'), ('b', 'NN'), ('found', 'VBN'), ('throughout', 'IN'), ('northern', 'JJ'), ('hemisphere', 'EX'), ('mainly', 'RB'), ('eurasia', 'RB'), ('associated', 'VBN'), ('multiple', 'JJ'), ('rodent', 'NN'), ('species', 'NNS'), ('hares', 'VBZ'), ('ticks', 'NNS'), ('bloodfeeding', 'VBG'), ('mosquitoes', 'NNS')]","[None, None, Synset('type.n.01'), Synset('establish.v.01'), Synset('north.r.01'), None, Synset('distribution.n.01'), None, Synset('wild.a.01'), Synset('rabbit.n.01'), Synset('tick.n.01'), None, Synset('flies.n.01'), Synset('type.v.01'), Synset('bacillus.n.01'), Synset('establish.v.01'), None, Synset('northern.a.01'), None, Synset('chiefly.r.01'), None, Synset('associate.v.01'), Synset('multiple.a.01'), Synset('rodent.n.01'), Synset('species.n.01'), Synset('hare.v.01'), Synset('tick.n.01'), None, Synset('mosquito.n.01')]"
33,typhoid fever,typhoid fever incidence highest among infants children living south central southeast asia south africa declines seen regions living conditions improved mainly due access clean water sanitation,common presenting symptoms influenzalike symptoms fever dry cough chills myalgia headache malaise anorexia nausea abdominal discomfort abdominal tenderness coated tongue hepatosplenomegaly 5–30 rash present abdomen chest complications occur 10–15 including gi bleeding common intestinal perforation typhoid encephalopathy,via fecal contaminated water drinks food infected individuals carriers,salmonella enterica enterica serovar typhi typhi,7–14 days may 2 months,bone marrow culture gold standard blood culture stool culture serology,"['typhoid', 'fever', 'incidence', 'highest', 'among', 'infants', 'children', 'living', 'south', 'central', 'southeast', 'asia', 'south', 'africa', 'declines', 'seen', 'regions', 'living', 'conditions', 'improved', 'mainly', 'due', 'access', 'clean', 'water', 'sanitation']","[('typhoid', 'NN'), ('fever', 'NN'), ('incidence', 'NN'), ('highest', 'JJS'), ('among', 'IN'), ('infants', 'NNS'), ('children', 'NNS'), ('living', 'VBG'), ('south', 'JJ'), ('central', 'JJ'), ('southeast', 'NN'), ('asia', 'IN'), ('south', 'JJ'), ('africa', 'JJ'), ('declines', 'NNS'), ('seen', 'VBN'), ('regions', 'NNS'), ('living', 'VBG'), ('conditions', 'NNS'), ('improved', 'VBN'), ('mainly', 'RB'), ('due', 'JJ'), ('access', 'NN'), ('clean', 'JJ'), ('water', 'NN'), ('sanitation', 'NN')]","[Synset('typhoid.n.01'), Synset('fever.n.01'), Synset('incidence.n.01'), Synset('high.a.01'), None, Synset('baby.n.01'), Synset('child.n.01'), Synset('populate.v.01'), Synset('south.a.01'), Synset('cardinal.s.01'), Synset('southeast.n.01'), None, Synset('south.a.01'), None, Synset('decline.n.01'), Synset('see.v.01'), Synset('region.n.01'), Synset('populate.v.01'), Synset('conditions.n.01'), Synset('better.v.02'), Synset('chiefly.r.01'), Synset('due.a.01'), Synset('entree.n.02'), Synset('clean.a.01'), Synset('water.n.01'), Synset('sanitation.n.01')]"
34,blastomycosis,blastomycosis sporadic disease worldwide distribution though cases reported north america endemic mississippi ohio river basins around great lakes,granulomatous fungal infection lung skin bone genitourinary tract acute fever cough pulmonary infiltrate resolving 1–3 weeks chronic erythematous papules face extremities lowgrade fever weight loss,inhalation spores disturbed soil,blastomyces dermatitidis teleomorph ajellomyces dermatitidis,weeks months median 45 days,microscopy sputum smear material lesions culture,"['blastomycosis', 'sporadic', 'disease', 'worldwide', 'distribution', 'though', 'cases', 'reported', 'north', 'america', 'endemic', 'mississippi', 'ohio', 'river', 'basins', 'around', 'great', 'lakes']","[('blastomycosis', 'NN'), ('sporadic', 'JJ'), ('disease', 'NN'), ('worldwide', 'JJ'), ('distribution', 'NN'), ('though', 'IN'), ('cases', 'NNS'), ('reported', 'VBD'), ('north', 'JJ'), ('america', 'JJ'), ('endemic', 'JJ'), ('mississippi', 'NN'), ('ohio', 'VBP'), ('river', 'NN'), ('basins', 'NNS'), ('around', 'IN'), ('great', 'JJ'), ('lakes', 'NNS')]","[Synset('blastomycosis.n.01'), Synset('sporadic.a.01'), Synset('disease.n.01'), Synset('worldwide.s.01'), Synset('distribution.n.01'), None, Synset('case.n.01'), Synset('report.v.01'), Synset('north.a.01'), None, Synset('endemic.a.01'), Synset('mississippi.n.01'), None, Synset('river.n.01'), Synset('basin.n.01'), None, Synset('great.s.01'), Synset('lake.n.01')]"
35,coccidioidomycosis,infections frequent period drought winds dust storms heavy rains advance mold growth usually late summer early fall estimated 150000 primary infections occur annually usa,60 exposures result asymptomatic infection symptoms range benign pulmonary infection fever chills cough chest pain dyspnea night sweats anorexia weight loss progressive pulmonary extrapulmonary disease,inhalation arthroconidia reproductive spores environment dusty fomites sometimes direct inoculation transplantation,coccidioides immitis californian c posadasii noncalifornia,primary infection 1–4 weeks chronic disseminated form disease may months years,fungal culture sputum blood pus urine coccidioidal serologic tests cocciodin spherulin skin test available usa serology csf diagnose meningitis,"['infections', 'frequent', 'period', 'drought', 'winds', 'dust', 'storms', 'heavy', 'rains', 'advance', 'mold', 'growth', 'usually', 'late', 'summer', 'early', 'fall', 'estimated', '150000', 'primary', 'infections', 'occur', 'annually', 'usa']","[('infections', 'NNS'), ('frequent', 'JJ'), ('period', 'NN'), ('drought', 'NN'), ('winds', 'VBZ'), ('dust', 'JJ'), ('storms', 'NNS'), ('heavy', 'JJ'), ('rains', 'NNS'), ('advance', 'JJ'), ('mold', 'JJ'), ('growth', 'NN'), ('usually', 'RB'), ('late', 'JJ'), ('summer', 'NN'), ('early', 'JJ'), ('fall', 'NN'), ('estimated', 'VBD'), ('150000', 'CD'), ('primary', 'JJ'), ('infections', 'NNS'), ('occur', 'VBP'), ('annually', 'RB'), ('usa', 'JJ')]","[Synset('infection.n.01'), Synset('frequent.a.01'), Synset('time_period.n.01'), Synset('drought.n.01'), Synset('weave.v.04'), None, Synset('storm.n.01'), Synset('heavy.a.01'), Synset('rain.n.01'), Synset('advance.s.01'), None, Synset('growth.n.01'), Synset('normally.r.01'), Synset('late.a.01'), Synset('summer.n.01'), Synset('early.a.01'), Synset('fall.n.01'), Synset('estimate.v.01'), None, Synset('primary.a.01'), Synset('infection.n.01'), Synset('happen.v.01'), Synset('annually.r.01'), None]"
36,histoplasmosis,histoplasma capsulatum found throughout world excluding areas low high rainfall endemic certain areas united states particularly states bordering ohio river valley lower mississippi river 90 population positive histoplasmin skin tests,infections asymptomatic mild resolve without treatment acute phase begins fever malaise chest pains dry cough past infection results partial protection reactivation uncommon may occur,inhalation aerosolized microconidia disturbed soil guano also inoculation organ transplantation,dimorphic fungi histoplasma capsulatum worldwide h capsuleatum var duboisii africa,3 17 days average 10 days,serology mainly used immunodiffusion cf tests detection antigen blood csf urine bronchoalveolar lavage fluid radioimmunoassay,"['histoplasma', 'capsulatum', 'found', 'throughout', 'world', 'excluding', 'areas', 'low', 'high', 'rainfall', 'endemic', 'certain', 'areas', 'united', 'states', 'particularly', 'states', 'bordering', 'ohio', 'river', 'valley', 'lower', 'mississippi', 'river', '90', 'population', 'positive', 'histoplasmin', 'skin', 'tests']","[('histoplasma', 'NN'), ('capsulatum', 'NN'), ('found', 'VBD'), ('throughout', 'IN'), ('world', 'NN'), ('excluding', 'VBG'), ('areas', 'NNS'), ('low', 'JJ'), ('high', 'JJ'), ('rainfall', 'NN'), ('endemic', 'VBP'), ('certain', 'JJ'), ('areas', 'NNS'), ('united', 'JJ'), ('states', 'NNS'), ('particularly', 'RB'), ('states', 'NNS'), ('bordering', 'VBG'), ('ohio', 'JJ'), ('river', 'NN'), ('valley', 'NN'), ('lower', 'RBR'), ('mississippi', 'NN'), ('river', 'NN'), ('90', 'CD'), ('population', 'NN'), ('positive', 'JJ'), ('histoplasmin', 'NN'), ('skin', 'NN'), ('tests', 'NNS')]","[None, None, Synset('establish.v.01'), None, Synset('universe.n.01'), Synset('exclude.v.01'), Synset('area.n.01'), Synset('low.a.01'), Synset('high.a.01'), Synset('rain.n.01'), None, Synset('certain.s.01'), Synset('area.n.01'), Synset('united.a.01'), Synset('state.n.01'), Synset('particularly.r.01'), Synset('state.n.01'), Synset('surround.v.01'), None, Synset('river.n.01'), Synset('valley.n.01'), None, Synset('mississippi.n.01'), Synset('river.n.01'), None, Synset('population.n.01'), Synset('positive.a.01'), None, Synset('skin.n.01'), Synset('trial.n.02')]"
37,mycetoma,common tropical subtropical areas world wide among people go barefoot endemic 30 n 15 equator infection often seen herdsmen farmers field laborers,chronic inflammatory process soft tissue generally painless swelling suppuration developing sinus tracts puscontaining granules drains,contamination penetrating wounds eg thorns splinters persontoperson transmission,fungals madurella mycetomatis pseudallescheria boydii common fungal causative agents eumycetoma,months years,pus contains visible granules histopathology biopsy culture slow,"['common', 'tropical', 'subtropical', 'areas', 'world', 'wide', 'among', 'people', 'go', 'barefoot', 'endemic', '30', 'n', '15', 'equator', 'infection', 'often', 'seen', 'herdsmen', 'farmers', 'field', 'laborers']","[('common', 'JJ'), ('tropical', 'JJ'), ('subtropical', 'JJ'), ('areas', 'NNS'), ('world', 'NN'), ('wide', 'JJ'), ('among', 'IN'), ('people', 'NNS'), ('go', 'VBP'), ('barefoot', 'JJ'), ('endemic', 'JJ'), ('30', 'CD'), ('n', 'JJ'), ('15', 'CD'), ('equator', 'NN'), ('infection', 'NN'), ('often', 'RB'), ('seen', 'VBN'), ('herdsmen', 'NNS'), ('farmers', 'NNS'), ('field', 'NN'), ('laborers', 'NNS')]","[Synset('common.a.01'), Synset('tropical.s.01'), Synset('subtropical.a.01'), Synset('area.n.01'), Synset('universe.n.01'), Synset('wide.a.01'), None, Synset('people.n.01'), Synset('travel.v.01'), Synset('barefoot.s.01'), Synset('endemic.a.01'), None, None, None, Synset('equator.n.01'), Synset('infection.n.01'), Synset('frequently.r.01'), Synset('see.v.01'), Synset('herder.n.02'), Synset('farmer.n.01'), Synset('field.n.01'), Synset('laborer.n.01')]"
38,paracoccidioidomycosis,south several central american countries 23 n 34 paracoccidioidomycosis endemic regions particularly brazil colombia venezuela argentina,paracoccidioidomycosis chronic progressive systemic mycosis cfr 10 highest children underlying conditions lowest adults,completely understood possibly soil fungus produces infective propagula become airborne inhaled lead respiratory infection,paracoccidioides brasiliensis,months years,microscopy isolation fungus serology histopathology,"['south', 'several', 'central', 'american', 'countries', '23', 'n', '34', 'paracoccidioidomycosis', 'endemic', 'regions', 'particularly', 'brazil', 'colombia', 'venezuela', 'argentina']","[('south', 'RB'), ('several', 'JJ'), ('central', 'JJ'), ('american', 'JJ'), ('countries', 'NNS'), ('23', 'CD'), ('n', 'JJ'), ('34', 'CD'), ('paracoccidioidomycosis', 'NN'), ('endemic', 'JJ'), ('regions', 'NNS'), ('particularly', 'RB'), ('brazil', 'VBP'), ('colombia', 'JJ'), ('venezuela', 'NNS'), ('argentina', 'VBP')]","[Synset('south.r.01'), Synset('several.s.01'), Synset('cardinal.s.01'), Synset('american.a.01'), Synset('state.n.04'), None, None, None, None, Synset('endemic.a.01'), Synset('region.n.01'), Synset('particularly.r.01'), None, None, Synset('venezuela.n.01'), None]"
39,penicilliosis,together tuberculosis cryptococcosis penicilliosis common opportunistic infection hiv patients southeast asia northern thailand causes 15 hivrelated diseases,present fever typical skin lesions findings anemia generalized lymphadenopathy weight loss hepatosplenomegaly respiratory signs also observed,unclear likely inhalation p marneffei conidia environment cutaneous inoculation,penicillium marneffei,weeks months,culture blood bone marrow skin lesion lymph node,"['together', 'tuberculosis', 'cryptococcosis', 'penicilliosis', 'common', 'opportunistic', 'infection', 'hiv', 'patients', 'southeast', 'asia', 'northern', 'thailand', 'causes', '15', 'hivrelated', 'diseases']","[('together', 'RB'), ('tuberculosis', 'NN'), ('cryptococcosis', 'NN'), ('penicilliosis', 'NN'), ('common', 'JJ'), ('opportunistic', 'JJ'), ('infection', 'NN'), ('hiv', 'NN'), ('patients', 'NNS'), ('southeast', 'JJ'), ('asia', 'JJ'), ('northern', 'JJ'), ('thailand', 'NN'), ('causes', 'VBZ'), ('15', 'CD'), ('hivrelated', 'JJ'), ('diseases', 'NNS')]","[Synset('together.r.01'), Synset('tuberculosis.n.01'), Synset('cryptococcosis.n.01'), None, Synset('common.a.01'), Synset('opportunist.s.01'), Synset('infection.n.01'), Synset('hiv.n.01'), Synset('patient.n.01'), Synset('southeasterly.s.01'), None, Synset('northern.a.01'), Synset('thailand.n.01'), Synset('cause.v.01'), None, None, Synset('disease.n.01')]"
